film_id,title,year,person_id,person_name,role,characters
ICC,Penki Pellam,1956,kamalakara-kameshwara-rao,Kamalakara Kameshwara Rao,director,
BJZR,Raktha Kanneeru,1956,krishnan-panju,Krishnan-Panju,director,
ICW,Sadarama,1956,k-r-seetarama-sastry,K.R. Seetarama Sastry,director,
BEHS,Sahasa Veerudu,1956,d-yoganand,D. Yoganand,director,
IDW,Sontha Vooru,1956,e-s-n-murthy,E.S.N. Murthy,director,
IDP,Sri Gouri Mahatyam,1956,d-yoganand,D. Yoganand,director,
IEO,Uma Sundari,1956,p-pullaiah,P. Pullaiah,director,
AKZF,Tenali Ramakrishna,1956,b-s-ranga,B.S. Ranga,director,
BERO,Akka Chellelu,1957,sarvabhowma-amanulla,Sarvabhowma-Amanulla,director,
AKZL,Allavuddin Adbhuta Deepam,1957,t-r-raghunath,T.R. Raghunath,director,
IGL,Bhagyarekha,1957,b-n-reddi,B.N. Reddi,director,
AKZN,Bhale Ammayilu,1957,vedantam-raghavaiah,Vedantam Raghavaiah,director,
IGP,Bhale Bava,1957,s-rajanikanth,S. Rajanikanth,director,
IHC,Dhampathyam,1957,erra-apparao,Erra Apparao,director,
IHM,Dongallo Dora,1957,p-chengaiah,P. Chengaiah,director,
BGDN,Evari Abbayi,1957,t-r-raghunath,T.R. Raghunath,director,
